Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
full service marketing firm,Commercial,390,67,10.13,"Sitelinks, Video, People also ask, Local pack, Related searches"
marketing agencies in new york city,Commercial,390,38,5.27,"Sitelinks, Video, Local pack, Related searches"
marketing agencies new york,Commercial,390,73,5.27,"Sitelinks, Video, Local pack, Related searches"
marketing businesses,Commercial,390,43,7.21,"Video, Video carousel, Local pack, Related searches, See results about"
marketing jobs in new york city,Commercial,390,30,0.53,"Jobs, Related searches"
media advertising agency,Commercial,390,60,11.22,"Video, Local pack, Related searches"
newmedia,Navigational,390,65,7.38,"Sitelinks, Video, Local pack, Related searches"
online marketing new york,Commercial,390,40,0.00,"AI Overview, Video, Local pack, Related searches"
agencies for digital marketing,Commercial,320,62,8.03,"Sitelinks, Video, Local pack, Related searches"
digital marketing agencies new york,Commercial,320,39,6.30,"AI Overview, Video, Local pack, Related searches"
digital marketing agency new york city,Commercial,320,45,6.30,"AI Overview, Image, Local pack, Related searches"
digital marketing agency ny,Commercial,320,48,7.14,"AI Overview, Image, Local pack, Related searches"
digital marketing companies new york,Commercial,320,69,6.30,"Sitelinks, Video, Local pack, Related searches"
digital marketing company new york,Commercial,320,49,6.30,"Sitelinks, Video, Local pack, Related searches"
digital marketing company nyc,Commercial,320,30,7.14,"Sitelinks, Video, People also ask, Local pack, Discussions and forums, Related searches"
digital marketing long island,Commercial,320,53,8.18,"Sitelinks, Video, Local pack, Related searches"
internet marketing new york,Commercial,320,41,0.00,"Video, Local pack, Related searches"
long island ad agencies,Commercial,320,54,4.67,"Sitelinks, Image, Video, Local pack, Related searches"
marketing agency long island,Commercial,320,66,6.26,"Sitelinks, Image, Video, Local pack, Related searches"
marketing firms nyc,Commercial,320,38,4.30,"Sitelinks, Video, People also ask, Local pack, Related searches"
media agencies nyc,Commercial,320,37,4.61,"Sitelinks, Video, People also ask, Local pack, Related searches"
new york advertising agencies,Commercial,320,36,3.87,"Image, Video, Local pack, Related searches"
nyc marketing agencies,Commercial,320,48,5.27,"Video, Local pack, Related searches"
nyc search engine advertising company,"Informational, Commercial",320,15,0.00,"AI Overview, Video, Related searches"
best marketing agencies nyc,Commercial,260,23,3.85,"Sitelinks, AI Overview, Video, Local pack, Discussions and forums, Related searches"
business marketing companies,Commercial,260,45,12.77,"Video, Local pack, Related searches"
digital advertising agency nyc,Commercial,260,67,6.30,"Video, Local pack, Related searches"
digital agencies nyc,Commercial,260,52,0.00,"Sitelinks, Local pack, Related searches"
digital marketing ads agency,Commercial,260,83,8.03,"Sitelinks, Video, Related searches"
digital marketing consulting agency,Informational,260,79,8.42,"Sitelinks, AI Overview, Video, Local pack, Related searches, Ads bottom"
digital marketing firms nyc,Commercial,260,48,7.14,"Video, People also ask, Local pack, Related searches"
full service advertising marketing agency,Informational,260,62,7.14,"AI Overview, Video, People also ask, Local pack, Discussions and forums, Related searches"
indeed digital marketing jobs,Navigational,260,28,0.46,"Video, Related searches"
internet marketing company new york,Commercial,260,37,0.00,"Local pack, Related searches"
long island advertising agencies,Commercial,260,54,3.99,"Image, Video, Knowledge panel, Related searches"
marketing agencies in new york,Commercial,260,27,5.27,"Sitelinks, Local pack, Related searches"
marketing agency new york city,Commercial,260,58,5.27,"Sitelinks, Image, Video, Local pack, Related searches"
marketing companies new york,Commercial,260,54,5.27,"Sitelinks, People also ask, Local pack, Related searches"
marketing firms in new york,Commercial,260,29,4.30,"Sitelinks, Video, Local pack, Related searches"
marketing strategy firm,Informational,260,57,7.81,"AI Overview, Video, Local pack, Related searches"
new york marketing company,Commercial,260,74,4.11,"Sitelinks, Local pack, Related searches"
new york online marketing,Informational,260,24,0.00,"Sitelinks, AI Overview, Video, Related searches"
nyc marketing,Commercial,260,39,4.63,"Video, People also ask, Local pack, Related searches"
online marketing nyc,Informational,260,38,0.00,"AI Overview, Video, Related searches"
paid marketing agency,Commercial,260,69,19.42,"Video, Video carousel, Related searches, Ads bottom"
top marketing agencies in new york,Informational,260,29,3.85,"Sitelinks, AI Overview, People also ask, Local pack, Related searches"
top marketing agencies nyc,Informational,260,26,3.47,"Sitelinks, AI Overview, Local pack, Discussions and forums, Related searches"
content marketing agency new york,Commercial,210,12,0.00,"Video, Local pack, Related searches"
content marketing agency nyc,Commercial,210,72,0.00,"Video, Local pack, Related searches"
corporate marketing agency,Informational,210,83,0.00,"AI Overview, Video, Local pack, Related searches"
digital advertising jobs,Commercial,210,43,0.93,"Video, People also ask, Jobs, Related searches"
digital marketing agencies new york city,Commercial,210,34,6.30,"Local pack, Related searches"
digital marketing agency in new york city,Commercial,210,28,6.30,"Sitelinks, Video, Local pack, Related searches"
digital marketing agency in nyc,Commercial,210,32,6.30,"AI Overview, Local pack, Related searches"
digital marketing agency nassau county ny,Commercial,210,27,0.00,"Local pack, Related searches"
digital marketing and advertising companies,Commercial,210,86,8.05,"Sitelinks, Video, People also ask, Local pack, Related searches"
digital marketing in new york,Commercial,210,40,8.13,"Sitelinks, Video, Local pack, Related searches"
digital marketing new york city,Commercial,210,28,8.13,"Sitelinks, Video, Local pack, Related searches"
full service digital agencies,Commercial,210,31,10.83,"Video, Local pack, Related searches"
full service marketing agency near me,Transactional,210,38,5.92,"Sitelinks, Video, People also ask, Local pack, Related searches"
instagram marketing for small business ny,Commercial,210,5,0.00,"Image, Video, Video carousel, Discussions and forums"
internet marketing nyc,Commercial,210,70,0.00,"Sitelinks, Video, Related searches"
internet marketing services new york,Commercial,210,31,0.00,"Image, Local pack, Related searches"
marketing agencies in nyc,Commercial,210,50,5.27,"Sitelinks, Video, Local pack, Related searches"
marketing agencies near hauppauge ny,Commercial,210,61,0.00,"Local pack, Related searches, Ads top, Ads bottom"
marketing company nyc,Commercial,210,37,5.27,"Sitelinks, People also ask, Local pack, Related searches"
marketing digital agencia,Commercial,210,,6.09,"Video, Video carousel, Local pack, Related searches, Ads bottom"
marketing firms long island,Commercial,210,58,6.26,"Sitelinks, Local pack, Related searches, Ads bottom"
marketing services firm,Commercial,210,52,8.99,"Sitelinks, AI Overview, Video, People also ask, Local pack, Related searches, Ads bottom, Ads middle"
marketing strategy companies,"Informational, Commercial",210,38,7.38,"Sitelinks, AI Overview, Video, Video carousel, Related searches, Ads bottom"
mba digital marketing,Informational,210,29,16.03,"Sitelinks, AI Overview, Video, Video carousel, Related searches, Ads bottom"
mba digital marketing online,Informational,210,23,19.73,"Sitelinks, AI Overview, Video, Video carousel, Related searches"
new york digital marketing,Commercial,210,46,8.13,"Local pack, Related searches"
new york internet marketing company,Commercial,210,28,0.00,"Local pack, Related searches"
performance marketing agency new york,Commercial,210,49,6.40,"Sitelinks, Video, Local pack, Related searches"
top advertising firms in nyc,Commercial,210,22,2.81,"Sitelinks, AI Overview, Video, Local pack, Related searches"
top digital marketing agencies in the us,Commercial,210,32,5.13,"AI Overview, Video, Local pack, Discussions and forums, Related searches"
top digital marketing agencies long island,Commercial,210,27,0.00,"Video, Local pack, Related searches"
top digital marketing agency new york,Commercial,210,29,1.80,"Sitelinks, Local pack, Related searches, Ads middle"
advertising agencies in new york city,Informational,170,61,3.87,"AI Overview, Video, Local pack, Related searches"
best marketing agencies in new york,Commercial,170,22,3.85,"Sitelinks, Video, Local pack, Discussions and forums, Related searches"
business marketing firms,Commercial,170,66,0.00,"Sitelinks, Video, Local pack, Related searches"
digital advertising agencies in new york,Commercial,170,28,0.00,"Local pack, Related searches"
digital advertising agency in new york,Commercial,170,38,0.00,"Local pack, Related searches"
digital amrketing agency,Commercial,170,94,8.03,"Video, Local pack, Related searches, Things to know, Ads top, Ads middle"
digital marketing agencies in new york,Commercial,170,17,6.30,"Sitelinks, Local pack, Related searches"
digital marketing mba,Informational,170,35,16.03,"Sitelinks, AI Overview, Video, Related searches"
digital marketing ny,Commercial,170,53,0.00,"Sitelinks, Image, Video, People also ask, Local pack, Related searches"
full service marketing companies,Commercial,170,42,9.21,"Sitelinks, Video, Local pack, Related searches"
internet marketing agency new york,Commercial,170,73,0.00,"AI Overview, Local pack, Related searches"
marketing agency ny,Commercial,170,71,5.27,"Sitelinks, Image, Video, People also ask, Local pack, Related searches, Ads bottom"
marketing consultant hauppauge,Commercial,170,9,0.00,"Local pack, Related searches"
marketing consultant new york,Commercial,170,23,5.47,"Video, Local pack, Jobs, Related searches"
marketing firms in nyc,Commercial,170,54,4.30,"Sitelinks, Video, People also ask, Local pack, Related searches"
marketing new york,Commercial,170,44,4.63,"AI Overview, Video, Related searches"
marketing nyc,Commercial,170,40,4.63,"Video, Local pack, Jobs, Related searches"
top marketing companies nyc,Informational,170,24,3.85,"Sitelinks, AI Overview, Knowledge panel, Discussions and forums, Related searches"
top marketing firms nyc,Informational,170,25,3.85,"Sitelinks, AI Overview, People also ask, Local pack, Related searches"
web marketing new york,Commercial,170,74,0.00,"Sitelinks, Local pack, Related searches"
advertising companies long island,Commercial,140,56,4.67,"Video, Local pack, Related searches"
best marketing agency for startups ny,"Informational, Commercial",140,7,0.00,"Sitelinks, AI Overview, Video, Discussions and forums, Related searches"
big marketing firms in nyc,Informational,140,12,3.85,"Sitelinks, AI Overview, Local pack, Related searches"
business marketing firm,Commercial,140,70,0.00,"Video, Local pack, Related searches, Things to know"
content marketing services new york,Commercial,140,6,0.00,"AI Overview, Video, Local pack, Related searches"
digital agency new york city,Commercial,140,42,9.00,"Sitelinks, Video, Local pack, Related searches"
digital agency ny,Commercial,140,81,9.00,"Sitelinks, Local pack, Related searches"
digital marketing agencies long island,Commercial,140,51,0.00,"Sitelinks, Local pack, Related searches"
digital marketing mba online,Informational,140,23,19.73,"Sitelinks, AI Overview, Video, Related searches"
digital marking agency,Commercial,140,87,0.00,"Video, People also ask, Local pack, Related searches, Things to know"
internet marketing advertising agency,Commercial,140,69,0.00,"Video, Local pack, Related searches"
internet marketing company nyc,Commercial,140,45,0.00,"Sitelinks, Local pack, Related searches"
leading digital marketing agency,Commercial,140,40,8.88,"Sitelinks, AI Overview, Video, Local pack, Related searches"
marketing firm new york,Commercial,140,56,5.27,"Sitelinks, Video, Local pack, Related searches"
marketing firm online,Informational,140,64,13.11,"Sitelinks, AI Overview, Video, Related searches"
marketing service agencies,Commercial,140,55,8.44,"AI Overview, People also ask, Local pack, Related searches"
marketing service agency,Commercial,140,55,8.66,"Local pack, Related searches"
marketing services new york,Commercial,140,40,0.00,"Image, Video, Local pack, Related searches"
new york advertising agency,Commercial,140,65,3.87,"Sitelinks, Video, Local pack, Related searches"
new york internet marketing agency,Commercial,140,58,0.00,"Sitelinks, Video, Local pack, Related searches"
new york marketing agencies,Commercial,140,36,5.27,"Sitelinks, Video, Local pack, Related searches"
new york marketing companies,Commercial,140,33,4.11,"Sitelinks, Video, People also ask, Local pack, Related searches"
nyc digital marketing,Commercial,140,40,8.13,"Sitelinks, Video, Local pack, Related searches"
nyc internet marketing,Commercial,140,40,0.00,"Sitelinks, Video, Local pack, Related searches"
nyc performance marketing agency,Informational,140,29,0.00,"Sitelinks, Knowledge panel, Related searches"
online marketing agency new york,Commercial,140,36,6.30,"Sitelinks, AI Overview, Local pack, Related searches"
sales and marketing agencies,Commercial,140,55,9.63,"Video, Video carousel, Local pack, Related searches, See results about"
sales and marketing companies,Informational,140,63,10.37,"AI Overview, Video, Local pack, Related searches"
williams agency,Commercial,140,29,15.16,"Sitelinks, Video, Local pack, Related searches"
williams media,Navigational,140,36,0.00,"Sitelinks, Video, Knowledge panel, Related searches"
advertising agency online,Informational,110,62,14.83,"Sitelinks, AI Overview, Video, Related searches"
advertising companies in nyc,Informational,110,75,3.87,"Sitelinks, AI Overview, Local pack, Related searches"
best marketing companies in new york,Commercial,110,25,3.85,"Video, Local pack, Discussions and forums, Related searches"
best marketing companies nyc,Commercial,110,34,3.85,"Sitelinks, AI Overview, Video, Knowledge panel, Related searches"
big digital marketing agency,Commercial,110,47,9.50,"Sitelinks, AI Overview, People also ask, Knowledge panel, Related searches"
boutique marketing agency nyc,Commercial,110,65,2.99,"Sitelinks, Video, Local pack, Related searches"
content marketing new york,Informational,110,16,3.43,"AI Overview, Video, Related searches"
corporate marketing services biz,Informational,110,0,0.00,"AI Overview, Video, Related searches"
digital agencies new york,Commercial,110,32,9.00,"Local pack, Related searches"
digital agency in new york,Commercial,110,78,9.00,"AI Overview, Local pack, Related searches"
digital marketing agencies in nyc,Commercial,110,28,0.00,"Sitelinks, Local pack, Related searches, Ads bottom"
digital marketing boutique agency,Informational,110,58,0.00,"AI Overview, Video, Local pack, Related searches"
digital marketing consultant new york,Commercial,110,48,0.00,"Video, Local pack, Jobs, Related searches"
digital marketing services in new york,Commercial,110,30,0.00,"AI Overview, Local pack, Related searches"
digital marketing services provider,Commercial,110,60,0.00,"Video, Local pack, Related searches"
digital marketing strategy new york,Informational,110,41,0.00,"AI Overview, Video, Discussions and forums, Related searches"
digital media agency nyc,Commercial,110,83,9.60,"Sitelinks, Video, Local pack, Related searches"
digitale marketing agentur,Commercial,110,55,0.00,"Video, Video carousel, Local pack, Related searches"
full service marketing firms,Commercial,110,74,0.00,"Sitelinks, Video, Local pack, Related searches"
hunter digital,Navigational,110,45,8.05,"Sitelinks, Video, Related searches, Ads bottom"
hunter digital marketing,"Navigational, Transactional",110,50,8.05,"Sitelinks, Video, Knowledge panel, Related searches"
hunterdigitalmarketing.com services offerings,Navigational,110,12,0.00,Related searches
interactive agency new york,Commercial,110,71,9.00,"AI Overview, Video, People also ask, Local pack, Related searches"
marketing agencies in ny,Informational,110,26,5.27,"Sitelinks, AI Overview, Video, Local pack, Related searches"
marketing agency service,Commercial,110,93,8.66,"Sitelinks, Video, People also ask, Local pack, Related searches, Ads bottom"
marketing companies in nyc,Informational,110,44,4.11,"AI Overview, Video, Local pack, Related searches"
new york city digital marketing agency,Commercial,110,23,6.30,"Image, Video, Local pack, Related searches"
new york digital agency,Commercial,110,78,9.00,"Sitelinks, Image pack, Local pack, Related searches"
new york digital marketing company,Commercial,110,22,8.11,"Sitelinks, Video, Local pack, Related searches"
new york internet marketing,Commercial,110,26,0.00,"Sitelinks, Video, Local pack, Related searches"
ny digital agency,Informational,110,77,9.00,"Sitelinks, AI Overview, Video, People also ask, Local pack, Related searches"
ny digital marketing,"Informational, Commercial",110,53,8.13,"AI Overview, Video, Local pack, Related searches"
ny marketing agencies,Commercial,110,35,5.27,"Sitelinks, Video, Local pack, Related searches"
ny marketing companies,Commercial,110,47,4.11,"Video, Local pack, Related searches"
ny marketing firm,Informational,110,38,4.02,"Sitelinks, AI Overview, Video, Local pack, Related searches"
nyc digital agency,Commercial,110,61,9.00,"Video, Local pack, Related searches"
nyc digital marketing firm,Commercial,110,50,0.00,"Sitelinks, Local pack, Related searches"
nyc marketing company,Commercial,110,69,4.29,"People also ask, Local pack, Related searches"
nyc marketing firms,Commercial,110,53,4.30,"Sitelinks, Video, Local pack, Related searches"
nyu marketing major,"Informational, Navigational",110,36,6.58,"AI Overview, Video, Related searches"
online marketing agency in new york,Commercial,110,24,6.30,"Sitelinks, Video, Local pack, Discussions and forums, Related searches"
online marketing company new york,Commercial,110,50,0.00,"Sitelinks, Local pack, Related searches"
product marketing agencies,Informational,110,25,7.44,"AI Overview, Video, People also ask, Local pack, Related searches"
tech digital marketing agency,Commercial,110,94,10.72,"Sitelinks, Local pack, Related searches, Ads top, Ads middle"
top marketing agencies in new york city,Informational,110,23,2.81,"Sitelinks, AI Overview, People also ask, Local pack, Related searches"
top marketing companies in new york,Informational,110,22,3.96,"Sitelinks, AI Overview, People also ask, Local pack, Related searches"
top marketing firms in new york,Informational,110,21,3.85,"Sitelinks, AI Overview, Local pack, Discussions and forums, Related searches"
advertising agency in new york city,Commercial,90,23,3.87,"Image, Video, Local pack, Related searches"
agency in nyc,Commercial,90,41,3.08,"Video, Local pack, Related searches"
austin digital agency,Commercial,90,57,0.00,"Image, Video, Local pack, Related searches"
best digital marketing advertising agency,Commercial,90,55,0.00,"Sitelinks, AI Overview, Video, Local pack, Discussions and forums, Related searches, Ads bottom"
best digital marketing agency for tech companies,Commercial,90,22,9.50,"Sitelinks, AI Overview, Video, People also ask, Local pack, Related searches"
best digital marketing agency in new york,Commercial,90,27,6.89,"Video, Local pack, Related searches"
best digital marketing agency nyc,Commercial,90,35,0.00,"Sitelinks, AI Overview, People also ask, Local pack, Discussions and forums, Related searches"
best marketing agencies in nyc,Commercial,90,22,3.68,"Sitelinks, AI Overview, Knowledge panel, Discussions and forums, Related searches"
best marketing agencies new york,Commercial,90,14,3.85,"Sitelinks, AI Overview, Video, People also ask, Local pack, Discussions and forums, Related searches, Ads bottom"
best marketing agency in new york,Commercial,90,24,3.85,"Sitelinks, Video, People also ask, Local pack, Discussions and forums, Related searches, Ads bottom"
best marketing firms in nyc,Commercial,90,22,3.96,"Sitelinks, AI Overview, People also ask, Knowledge panel, Discussions and forums, Related searches"
best nyc agency for website migration,"Informational, Commercial",90,1,0.00,"AI Overview, Ads bottom"
content agency new york,Commercial,90,77,8.50,"Sitelinks, Video, Local pack, Related searches"
digital marketing job search,Commercial,90,37,0.89,"Video, Jobs, Related searches"
digital marketing mba programs,"Informational, Commercial",90,34,0.00,"Sitelinks, AI Overview, Video, Video carousel, Related searches"
digital marketing services nyc,Commercial,90,38,0.00,"Local pack, Related searches"
digital media advertising companies,Commercial,90,64,0.00,"Sitelinks, AI Overview, Video, People also ask, Local pack, Related searches, Ads bottom"
digital media companies nyc,Commercial,90,14,3.82,"Sitelinks, Video, People also ask, Local pack, Related searches"
integrated marketing agency nyc,Commercial,90,66,0.00,"Local pack, Related searches"
interactive agency nyc,Commercial,90,73,9.00,"Sitelinks, Local pack, Related searches, Ads top"
leading digital marketing company,"Informational, Commercial",90,50,8.88,"Sitelinks, AI Overview, Video, Local pack, Related searches"
list of digital agencies,Commercial,90,49,0.00,"AI Overview, Video, People also ask, Local pack, Related searches"
marketing agencies new york city,Commercial,90,59,5.27,"Sitelinks, Video, Local pack, Related searches"
marketing agency [city],Commercial,90,32,0.00,"Image, Video, Local pack, Related searches"
marketing bureaus,Commercial,90,47,0.00,"Sitelinks, Video, Local pack, Related searches"
marketing companies in new york city,Informational,90,21,5.27,"AI Overview, Video, Local pack, Related searches"
marketing company in new york,Commercial,90,46,5.27,"Sitelinks, Video, People also ask, Local pack, Related searches"
marketing firm nyc,Commercial,90,37,4.13,"People also ask, Local pack, Related searches"
marketing firms new york,Commercial,90,30,5.27,"Sitelinks, Video, People also ask, Local pack, Related searches"
marketing online new york,Informational,90,27,0.00,"AI Overview, Video, Related searches"
marketing service companies,Commercial,90,41,8.99,"Local pack, Related searches"
mba marketing digital online,"Informational, Commercial",90,32,19.73,"Sitelinks, AI Overview, Video, Video carousel, Related searches"
new york city marketing agencies,Commercial,90,40,5.27,"Local pack, Related searches"
new york city marketing agency,Commercial,90,35,5.27,"Sitelinks, Image, Video, Local pack, Related searches"
new york marketing firm,Commercial,90,61,4.30,"Sitelinks, Video, Local pack, Related searches"
ny internet marketing agency,Commercial,90,44,8.03,"Local pack, Related searches"
ny marketing firms,Commercial,90,70,4.02,"Video, Local pack, Related searches"
nyc marketing companies,Commercial,90,54,4.11,"Sitelinks, Video, People also ask, Local pack, Related searches"
nyc web marketing,Informational,90,22,0.00,"AI Overview, Video, Related searches"
online marketing services new york,Informational,90,13,0.00,"AI Overview, Video, Related searches"
performance marketing agency nyc,Commercial,90,34,9.12,"Sitelinks, AI Overview, Video, Local pack, Related searches"
sitecore agency new york,Informational,90,7,0.00,"Sitelinks, AI Overview, Video, Knowledge panel, Related searches"
social marketing agentur,Informational,90,72,0.00,"AI Overview, Video, Video carousel, Related searches"
social media marketing agency in new york,Commercial,90,32,0.00,"Video, Local pack, Related searches"
social media marketing company nyc,Commercial,90,53,5.10,"Sitelinks, Video, Local pack, Related searches"
social media marketing services new york,Informational,90,36,0.00,"AI Overview, Video, Local pack, Related searches"
strategic marketing agencies,Informational,90,68,6.69,"Sitelinks, AI Overview, Knowledge panel, Related searches"
top digital marketing agencies nyc,Commercial,90,24,1.80,"Featured snippet, Sitelinks, Video, Local pack, Related searches"
top marketing agencies in nyc,Informational,90,28,2.81,"Sitelinks, AI Overview, Knowledge panel, Discussions and forums, Related searches, Ads bottom"
top new york advertising agencies,Informational,90,11,2.81,"Sitelinks, AI Overview, Video, Local pack, Related searches"
web agency ny,Navigational,90,52,6.67,"Sitelinks, Local pack, Related searches"
williams new york,Navigational,90,36,0.00,"Sitelinks, Image, Video, People also ask, Knowledge panel, Related searches"
b2b digital marketing firms new york,,70,,0.00,
